"State","Year","Nature","Incidents"
"Iowa",2013,"BSA.Structuring.Money.Laundering",0
"Iowa",2014,"BSA.Structuring.Money.Laundering",0
"Iowa",2015,"BSA.Structuring.Money.Laundering",0
"Iowa",2016,"BSA.Structuring.Money.Laundering",0
"Kansas",1996,"BSA.Structuring.Money.Laundering",87
"Kansas",1997,"BSA.Structuring.Money.Laundering",73
"Kansas",1998,"BSA.Structuring.Money.Laundering",123
"Kansas",1999,"BSA.Structuring.Money.Laundering",159
"Kansas",2000,"BSA.Structuring.Money.Laundering",153
"Kansas",2001,"BSA.Structuring.Money.Laundering",259
"Kansas",2002,"BSA.Structuring.Money.Laundering",575
"Kansas",2003,"BSA.Structuring.Money.Laundering",795
"Kansas",2004,"BSA.Structuring.Money.Laundering",824
"Kansas",2005,"BSA.Structuring.Money.Laundering",1172
"Kansas",2006,"BSA.Structuring.Money.Laundering",1234
"Kansas",2007,"BSA.Structuring.Money.Laundering",1114
"Kansas",2008,"BSA.Structuring.Money.Laundering",1355
"Kansas",2009,"BSA.Structuring.Money.Laundering",1604
"Kansas",2010,"BSA.Structuring.Money.Laundering",1890
"Kansas",2011,"BSA.Structuring.Money.Laundering",0
"Kansas",2012,"BSA.Structuring.Money.Laundering",0
"Kansas",2013,"BSA.Structuring.Money.Laundering",0
"Kansas",2014,"BSA.Structuring.Money.Laundering",0
"Kansas",2015,"BSA.Structuring.Money.Laundering",0
"Kansas",2016,"BSA.Structuring.Money.Laundering",0
"Kentucky",1996,"BSA.Structuring.Money.Laundering",88
"Kentucky",1997,"BSA.Structuring.Money.Laundering",104
"Kentucky",1998,"BSA.Structuring.Money.Laundering",144
"Kentucky",1999,"BSA.Structuring.Money.Laundering",345
"Kentucky",2000,"BSA.Structuring.Money.Laundering",362
"Kentucky",2001,"BSA.Structuring.Money.Laundering",571
"Kentucky",2002,"BSA.Structuring.Money.Laundering",852
"Kentucky",2003,"BSA.Structuring.Money.Laundering",909
"Kentucky",2004,"BSA.Structuring.Money.Laundering",1151
"Kentucky",2005,"BSA.Structuring.Money.Laundering",1583
"Kentucky",2006,"BSA.Structuring.Money.Laundering",1398
"Kentucky",2007,"BSA.Structuring.Money.Laundering",1543
"Kentucky",2008,"BSA.Structuring.Money.Laundering",1779
"Kentucky",2009,"BSA.Structuring.Money.Laundering",2112
"Kentucky",2010,"BSA.Structuring.Money.Laundering",2447
"Kentucky",2011,"BSA.Structuring.Money.Laundering",0
"Kentucky",2012,"BSA.Structuring.Money.Laundering",0
"Kentucky",2013,"BSA.Structuring.Money.Laundering",0
"Kentucky",2014,"BSA.Structuring.Money.Laundering",0
"Kentucky",2015,"BSA.Structuring.Money.Laundering",0
"Kentucky",2016,"BSA.Structuring.Money.Laundering",0
"Louisiana",1996,"BSA.Structuring.Money.Laundering",166
"Louisiana",1997,"BSA.Structuring.Money.Laundering",157
"Louisiana",1998,"BSA.Structuring.Money.Laundering",193
"Louisiana",1999,"BSA.Structuring.Money.Laundering",297
"Louisiana",2000,"BSA.Structuring.Money.Laundering",1163
"Louisiana",2001,"BSA.Structuring.Money.Laundering",1359
"Louisiana",2002,"BSA.Structuring.Money.Laundering",1620
