"State.Territory","Year","Incidents"
"Overseas","2013",NA
"Palau","2013",85
"Pennsylvania","2013",22248
"Puerto Rico","2013",5282
"Rhode Island","2013",2411
"South Carolina","2013",6078
"South Dakota","2013",18001
"Tennessee","2013",9874
"Texas","2013",70223
"U.S. Virgin Islands","2013",323
"Unknown/Blank","2013",897
"Utah","2013",9315
"Vermont","2013",526
"Virginia","2013",27112
"Washington","2013",10801
"West Virginia","2013",2400
"Wisconsin","2013",7294
"Wyoming","2013",493
"Alabama","2014",9410
"Alaska","2014",1916
"American Samoa","2014",566
"Arizona","2014",19579
"Arkansas","2014",3515
"California","2014",151355
"Colorado","2014",11878
"Connecticut","2014",10340
"Delaware","2014",53544
"District of Columbia","2014",2957
"Federated States of Micronesia","2014",28
"Florida","2014",64294
"Georgia","2014",26127
"Guam","2014",1508
"Hawaii","2014",7708
"Idaho","2014",1679
"Illinois","2014",33948
"Indiana","2014",11188
"Iowa","2014",3156
"Kansas","2014",4331
"Kentucky","2014",5921
"Louisiana","2014",9266
